id,paperid,quesno,score,answer,answerHas
846,16,2,0,A,1
847,16,3,0,B,2
848,16,5,0,C,4
849,16,6,0,A,1
850,16,7,0,B,2
851,16,8,0,C,4
852,16,9,0,C,4
853,16,11,0,A,1
854,16,12,0,C,4
855,16,13,0,B,2
856,16,14,0,B,2
857,16,15,0,A,1
858,16,16,0,C,4
859,16,17,0,A,1
860,16,18,0,B,2
861,16,19,0,A,1
862,16,20,0,B,2
863,16,21,0,A,1
864,16,22,0,B,2
865,16,23,0,D,8
866,16,24,0,B,2
867,16,26,0,D,8
868,16,27,0,C,4
869,16,29,0,B,2
870,16,30,0,C,4
871,16,31,0,D,8
872,16,32,0,B,2
873,16,33,0,B,2
874,16,35,0,D,8
875,16,36,0,B,2
876,16,39,0,DE,24
877,16,40,0,G,64
878,16,41,0,D,8
879,16,46,0,C,4
880,16,49,0,B,2
881,16,50,0,A,1
882,16,51,0,D,8
883,16,53,0,A,1
884,16,54,0,C,4
885,16,56,0,A,1
886,16,59,0,D,8
887,16,60,0,C,4
888,17,1,0,B,2
889,17,2,0,C,4
890,17,3,0,B,2
891,17,4,0,A,1
892,17,5,0,B,2
893,17,6,0,A,1
894,17,7,0,B,2
895,17,8,0,C,4
896,17,9,0,B,2
897,17,10,0,C,4
898,17,11,0,B,2
899,17,12,0,B,2
900,17,13,0,A,1
901,17,14,0,C,4
902,17,15,0,B,2
903,17,16,0,C,4
904,17,17,0,B,2
905,17,18,0,A,1
906,17,19,0,B,2
907,17,20,0,C,4
908,17,21,0,A,1
909,17,22,0,B,2
910,17,23,0,C,4
911,17,24,0,C,4
912,17,25,0,D,8
913,17,26,0,B,2
914,17,27,0,C,4
915,17,28,0,A,1
916,17,29,0,C,4
917,17,31,0,C,4
918,17,32,0,C,4
919,17,33,0,B,2
920,17,34,0,B,2
921,17,35,0,B,2
922,17,36,0,G,64
923,17,39,0,F,32
924,17,41,0,D,8
925,17,42,0,B,2
926,17,43,0,D,8
927,17,46,0,D,8
928,17,47,0,C,4
929,17,48,0,C,4
930,17,49,0,D,8
931,17,50,0,A,1
932,17,51,0,C,4
933,17,54,0,C,4
934,17,55,0,A,1
935,17,58,0,B,2
936,17,60,0,D,8
937,18,1,0,C,4
938,18,2,0,A,1
939,18,3,0,C,4
940,18,4,0,A,1
941,18,5,0,B,2
942,18,6,0,A,1
943,18,7,0,A,1
944,18,8,0,B,2
945,18,9,0,C,4
946,18,10,0,B,2
947,18,11,0,C,4
948,18,12,0,C,4
949,18,13,0,B,2
950,18,14,0,C,4
951,18,15,0,A,1
952,18,16,0,C,4
953,18,17,0,B,2
954,18,18,0,A,1
955,18,19,0,B,2
956,18,20,0,C,4
957,18,21,0,C,4
958,18,22,0,A,1
959,18,23,0,C,4
960,18,24,0,A,1
961,18,25,0,B,2
962,18,26,0,B,2
963,18,27,0,D,8
964,18,28,0,A,1
965,18,29,0,D,8
966,18,30,0,C,4
967,18,31,0,C,4
968,18,32,0,A,1
969,18,33,0,B,2
970,18,34,0,B,2
971,18,35,0,D,8
972,18,36,0,F,32
973,18,37,0,B,2
974,18,38,0,D,8
975,18,39,0,G,64
976,18,40,0,A,1
977,18,41,0,A,1
978,18,42,0,A,1
979,18,43,0,A,1
980,18,46,0,D,8
981,18,47,0,B,2
982,18,48,0,A,1
983,18,49,0,D,8
984,18,50,0,A,1
985,18,51,0,D,8
986,18,52,0,C,4
987,18,53,0,B,2
988,18,54,0,D,8
989,18,55,0,A,1
990,18,56,0,B,2
991,18,57,0,B,2
992,18,58,0,C,4
993,18,59,0,D,8
994,18,60,0,C,4
995,19,1,0,B,2
996,19,2,0,A,1
997,19,3,0,A,1
998,19,4,0,A,1
999,19,5,0,B,2
1000,19,6,0,A,1
